,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
279,794810,Louise,Morel,Grand Est,Bas-Rhin,6,Cadre administratif et commercial d'entreprise,Démocrate (MoDem et Indépendants),Dem
280,266788,Pierre,Morel-À-L'Huissier,Occitanie,Lozère,1,Avocat,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
281,605069,Jean-Louis,Bricout,Hauts-de-France,Aisne,3,Cadre (secteur privé),"Libertés, Indépendants, Outre-mer et Territoires",LIOT
282,794522,Pierrick,Berteloot,Hauts-de-France,Nord,15,Assistant Maitre d'Équipage - Assistant Toutes Catégories,Rassemblement National,RN
283,795374,Pascal,Lecamp,Nouvelle-Aquitaine,Vienne,3,Cadre administratif et commercial d'entreprise,Démocrate (MoDem et Indépendants),Dem
284,794106,Andrée,Taurinya,Auvergne-Rhône-Alpes,Loire,2,"Professeur, profession scientifique ",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
285,720630,Maxime,Minot,Hauts-de-France,Oise,7,Employé (secteur privé),Les Républicains,LR
286,719154,Didier,Martin,Bourgogne-Franche-Comté,Côte-d'Or,1,Neuroradiologue,Renaissance,RE
287,1567,Jérôme,Guedj,Ile-de-France,Essonne,6,Inspecteur général des Affaires sociales,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
288,720422,Adrien,Quatennens,Hauts-de-France,Nord,1,Employé (secteur privé),Non inscrit,NI
289,721916,Natalia,Pouzyreff,Ile-de-France,Yvelines,6,Ingénieure,Renaissance,RE
290,720014,Huguette,Tiegna,Occitanie,Lot,2,"Docteur, Ingénieur Recherche et Dévelopement",Renaissance,RE
291,793928,Edwige,Diaz,Nouvelle-Aquitaine,Gironde,11,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
292,793306,Philippe,Pradal,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,3,Expert comptable,Horizons et apparentés,HOR
293,736201,Sophie,Taillé-Polian,Ile-de-France,Val-de-Marne,11,Cadre de la fonction publique,Écologiste - NUPES,Ecolo - NUPES
294,1630,Michel,Herbillon,Ile-de-France,Val-de-Marne,8,Cadre supérieur,Les Républicains,LR
295,794178,Jean-Pierre,Taite,Auvergne-Rhône-Alpes,Loire,6,"Ancien artisan, commerçant, chef d'entreprise",Les Républicains,LR
296,793110,Léo,Walter,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,2,Directeur d'école,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
297,795762,Elie,Califer,Guadeloupe,Guadeloupe,4,Ancien cadre,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
298,795310,Clémence,Guetté,Ile-de-France,Val-de-Marne,2,Responsable du programme LFI,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
299,794686,Marianne,Maximi,Auvergne-Rhône-Alpes,Puy-de-Dôme,1,Profession intermédiaire de la santé et du travail social,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
300,795244,Stéphane,Lenormand,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,1,Ancien cadre,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
301,719822,Sabine,Thillaye,Centre-Val de Loire,Indre-et-Loire,5,Ancien Chef d'entreprise,Démocrate (MoDem et Indépendants),Dem
302,793382,Emmanuel,Taché de la Pagerie,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,16,Cadre de la fonction publique,Rassemblement National,RN
303,721844,Béatrice,Piron,Ile-de-France,Yvelines,3,Chef d'entreprise,Renaissance,RE
304,720222,Éric,Girardin,Grand Est,Marne,3,Industriel-Chef d'entreprise,Renaissance,RE
305,267318,Jean-Carles,Grelier,Pays de la Loire,Sarthe,5,Avocat,Renaissance,RE
306,793230,Angélique,Ranc,Grand Est,Aube,3,Sans activité professionnelle,Rassemblement National,RN
307,643175,Stella,Dupont,Pays de la Loire,Maine-et-Loire,2,Comptable,Renaissance,RE
308,719404,Didier,Le Gac,Bretagne,Finistère,3,Profession rattachée à l'enseignement,Renaissance,RE
309,793166,Jocelyn,Dessigny,Hauts-de-France,Aisne,5,Cadre administratif et commercial d'entreprise,Rassemblement National,RN
